[2026-02-15T20:49:57.239Z] [ERROR] [SERVER_STARTUP] Server started on port 3000 | {}
[2026-02-15T20:49:59.671Z] [ERROR] [SERVER_STARTUP] Server started on port 3000 | {}
[2026-02-15T20:51:46.310Z] [ERROR] [SERVER_STARTUP] Server started on port 3000 | {}
[2026-02-15T20:52:07.417Z] [ERROR] [SERVER_STARTUP] Server started on port 3000 | {}
[2026-02-15T21:04:44.188Z] [ERROR] [SERVER_STARTUP] Server started on port 3000 | {}
[2026-02-15T21:04:50.277Z] [ERROR] [SERVER_STARTUP] Server started on port 3000 | {}
[2026-02-15T21:23:22.133Z] [ERROR] [SERVER_STARTUP] Server started on port 3000 | {}
[2026-02-15T21:23:27.405Z] [ERROR] [SERVER_STARTUP] Server started on port 3000 | {}
[2026-02-15T21:50:00.885Z] [ERROR] [SERVER_STARTUP] Server started on port 3000 | {}
[2026-02-16T12:24:36.110Z] [ERROR] [SERVER_STARTUP] Server started on port 3000 | {}
[2026-02-17T08:30:44.476Z] [ERROR] [SERVER_STARTUP] Server started on port 3000 | {}
[2026-02-18T11:53:55.150Z] [ERROR] [SERVER_STARTUP] Server started on port 3000 | {}
[2026-02-18T12:56:00.798Z] [ERROR] [SERVER_STARTUP] Server started on port 3000 | {}
[2026-02-18T13:04:30.698Z] [ERROR] [SERVER_STARTUP] Server started on port 3000 | {}
[2026-02-18T13:18:55.733Z] [ERROR] [SERVER_STARTUP] Server started on port 3000 | {}
[2026-02-18T13:19:25.438Z] [ERROR] [SERVER_STARTUP] Server started on port 3000 | {}
