[2026-02-15T20:52:14.755Z] [INFO] [ROOM_CREATED] Room created | {"roomId":"a3440b52-7e4a-4361-8ce4-c453da6d832f","ownerId":"3ac7f963-c1d3-4546-b63e-5706d3da2e0b","ownerName":"zany-coral"}
[2026-02-15T20:52:15.187Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"3ac7f963-c1d3-4546-b63e-5706d3da2e0b","userName":"zany-coral","roomId":"a3440b52-7e4a-4361-8ce4-c453da6d832f","role":"owner"}
[2026-02-15T20:59:16.376Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"a01f97e6-f6d1-43b0-86b6-7b9563577a23","userName":"nice-lime","roomId":"a3440b52-7e4a-4361-8ce4-c453da6d832f","role":"guest"}
[2026-02-15T20:59:16.377Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"a01f97e6-f6d1-43b0-86b6-7b9563577a23","userName":"nice-lime","roomId":"a3440b52-7e4a-4361-8ce4-c453da6d832f","role":"guest","success":true}
[2026-02-15T20:59:24.298Z] [WARN] [ROOM_JOIN_FAILURE] User failed to join room | {"userId":"4de79a0b-9944-44b5-bc65-68e95ed37523","userName":"merry-coral","roomId":"a3440b52-7e4a-4361-8ce4-c453da6d832f","role":"guest","success":false,"reason":"Room is already full"}
[2026-02-15T20:59:30.397Z] [INFO] [ROOM_CREATED] Room created | {"roomId":"cb120ce9-d3cb-487a-a9a1-195715ef75da","ownerId":"4de79a0b-9944-44b5-bc65-68e95ed37523","ownerName":"merry-coral"}
[2026-02-15T20:59:30.584Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"4de79a0b-9944-44b5-bc65-68e95ed37523","userName":"merry-coral","roomId":"cb120ce9-d3cb-487a-a9a1-195715ef75da","role":"owner"}
[2026-02-15T20:59:32.814Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"3ac7f963-c1d3-4546-b63e-5706d3da2e0b","userName":"zany-coral","roomId":"cb120ce9-d3cb-487a-a9a1-195715ef75da","role":"guest"}
[2026-02-15T20:59:32.814Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"3ac7f963-c1d3-4546-b63e-5706d3da2e0b","userName":"zany-coral","roomId":"cb120ce9-d3cb-487a-a9a1-195715ef75da","role":"guest","success":true}
[2026-02-15T20:59:45.347Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"4de79a0b-9944-44b5-bc65-68e95ed37523","userName":"merry-coral","roomId":"cb120ce9-d3cb-487a-a9a1-195715ef75da","role":"owner"}
[2026-02-15T20:59:49.019Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"3ac7f963-c1d3-4546-b63e-5706d3da2e0b","userName":"zany-coral","roomId":"cb120ce9-d3cb-487a-a9a1-195715ef75da","role":"guest","success":true,"reason":"Rejoining existing room"}
